,psnr,ssim,mse,mae,sample_idx,generation_time
count,6235.0,6235.0,6235.0,6235.0,6235.0,6235.0
mean,18.309715895503707,0.571421493383781,0.015377909106403326,0.06351265614820942,3117.0,0.04354206251926009
std,1.2161322363421982,0.0586959316981441,0.004761395189505742,0.011075165547411807,1800.0337959790272,0.0011959943580266827
min,12.800095059061158,0.3230396899552953,0.0067658936604857445,0.03951508551836014,0.0,0.0425771102309227
25%,17.594957153394525,0.5341782109114068,0.012189804576337337,0.0556756891310215,1558.5,0.04283317178487778
50%,18.383794473124453,0.5760662471536138,0.014508433640003204,0.06207934021949768,3117.0,0.04298685863614082
75%,19.14003258483806,0.6152661041637746,0.017398199066519737,0.06946681067347527,4675.5,0.043274953961372375
max,21.6967482671099,0.7295787974985994,0.05247959867119789,0.13152916729450226,6234.0,0.046998243778944016
