,psnr,ssim,mse,mae,sample_idx,generation_time
count,55.0,55.0,55.0,55.0,55.0,55.0
mean,6.451399136416518,0.0030024329303769137,0.22651470764116807,0.3587658394466747,27.0,0.00018180500377308243
std,0.14444766075092993,0.0008717912910145781,0.007557484822046015,0.004586657062350838,16.020819787597222,5.470975152398346e-20
min,6.148777557583579,0.0013509206610026222,0.21382319927215576,0.3501535952091217,0.0,0.00018180500377308238
25%,6.319183142855941,0.0023093966869531914,0.2206028699874878,0.3555576503276825,13.5,0.00018180500377308238
50%,6.457641169958118,0.0030181795229847967,0.22606632113456726,0.3586224913597107,27.0,0.00018180500377308238
75%,6.563890619813181,0.0037342777528871145,0.2333899438381195,0.3624103516340256,40.5,0.00018180500377308238
max,6.69945178600269,0.004975506223714671,0.2427293062210083,0.3688347637653351,54.0,0.00018180500377308238
