,psnr,ssim,mse,mae,sample_idx,generation_time
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,14.695109668994121,0.2983185130430864,0.03410177826881409,0.11519982069730758,2.0,2.449422597885132
std,0.501770190310401,0.0284596824417589,0.003865686508155559,0.00783398416689387,1.5811388300841898,0.0
min,14.084009523955245,0.258362149408636,0.02857787162065506,0.10284792631864548,0.0,2.449422597885132
25%,14.42960530395527,0.2921652823026326,0.033382758498191833,0.11241891235113144,1.0,2.449422597885132
50%,14.757454704028511,0.29226834810706875,0.03343909606337547,0.11827351897954941,2.0,2.449422597885132
75%,14.764777415564982,0.31418770922804234,0.03606114163994789,0.11999976634979248,3.0,2.449422597885132
max,15.439701397466594,0.33460907616905217,0.03904802352190018,0.12245897948741913,4.0,2.449422597885132
