,psnr,ssim,mse,mae,sample_idx,generation_time
count,6235.0,6235.0,6235.0,6235.0,6235.0,6235.0
mean,17.293928236733212,0.5266924723544723,0.019669760519350373,0.0750041510853035,3117.0,0.013421636021605662
std,1.4206168622591862,0.05887896336107476,0.006544778980269491,0.015354007321192404,1800.0337959790272,0.002178434626006341
min,12.399845847355,0.2993907113681417,0.007115543819963932,0.04143128544092178,0.0,0.011161558330059052
25%,16.25504067751192,0.4900748590534091,0.014620351139456034,0.0631943829357624,1558.5,0.011261820793151855
50%,17.277163561164645,0.5311126877124435,0.01871904358267784,0.0732593834400177,3117.0,0.014006968587636948
75%,18.3504219015374,0.5686701785854802,0.02368622925132513,0.08482231572270393,4675.5,0.015579506754875183
max,21.477918785686544,0.6934781714470288,0.057546038180589676,0.14468108117580414,6234.0,0.016838140785694122
