,psnr,ssim,mse,mae,sample_idx,generation_time
count,6235.0,6235.0,6235.0,6235.0,6235.0,6235.0
mean,20.618798618053354,0.6026764726857684,0.009049190364743687,0.053270614219780146,3117.0,5.6302231985182404e-05
std,1.2471766954212784,0.06021801034330654,0.0028101350308315535,0.009268075225382522,1800.0337959790272,1.4571485678547682e-05
min,15.109225124851902,0.3040208766898795,0.0034181387163698673,0.031102122738957405,0.0,3.1247735023498535e-05
25%,19.86960246874505,0.5696997491666731,0.007142645074054599,0.04670201241970062,1558.5,4.68716025352478e-05
50%,20.650919791789182,0.609256927600591,0.008608114905655384,0.05212266743183136,3117.0,6.246194243431091e-05
75%,21.46140920163036,0.6451939764507355,0.010304804891347885,0.0584901999682188,4675.5,6.252527236938477e-05
max,24.662103398158997,0.7659009919188521,0.03083738125860691,0.09977822750806808,6234.0,0.00011117370040328415
