,psnr,ssim,mse,mae,sample_idx,generation_time
count,55.0,55.0,55.0,55.0,55.0,55.0
mean,16.17732008131233,0.4031177462752593,0.024552934074943716,0.08689593632112849,27.0,0.0024924495003440165
std,0.8243749208417761,0.043092220302025884,0.004813164999023109,0.009012541387152876,16.020819787597222,0.000639139278594441
min,14.264420621913036,0.33994879939423117,0.01805034466087818,0.07285963743925095,0.0,0.001755356788635254
25%,15.400718133238525,0.3607786067387187,0.020641296170651913,0.08015992864966393,13.5,0.0019999146461486816
50%,16.225339335629407,0.3996189847958616,0.023848775774240494,0.0841221809387207,27.0,0.0024994611740112305
75%,16.85264550051918,0.43661866224727347,0.028836085461080074,0.091651551425457,40.5,0.002501368522644043
max,17.435145318616865,0.4939888593339086,0.037459149956703186,0.11087609827518463,54.0,0.004998922348022461
