psnr,ssim,mse,mae,sample_idx,generation_time
14.147713341383795,0.06342113846282564,0.038479432463645935,0.16798055171966553,0,5.374821749600497e-05
11.438944174360092,0.060133091863718915,0.07179687917232513,0.2205197811126709,1,5.374821749600497e-05
14.010273317870304,0.05955835545331904,0.039716653525829315,0.1673523485660553,2,5.374821749600497e-05
14.01750371249092,0.06031455805721593,0.03965058550238609,0.17027993500232697,3,5.374821749600497e-05
12.03803112730111,0.052319480942902875,0.06254561990499496,0.20810666680335999,4,5.374821749600497e-05
12.670989690862296,0.05607940546793484,0.0540631078183651,0.19071555137634277,5,5.374821749600497e-05
14.235284189851127,0.06210231422186323,0.037711307406425476,0.16263246536254883,6,5.374821749600497e-05
11.735609433570184,0.04832746536667541,0.06705621629953384,0.21480098366737366,7,5.374821749600497e-05
10.636243727687223,0.047097255317657884,0.08637251704931259,0.24246126413345337,8,5.374821749600497e-05
13.389802348604213,0.06390512178993164,0.04581627622246742,0.17842642962932587,9,5.374821749600497e-05
10.366984521018978,0.06782649419003672,0.09189704805612564,0.246098130941391,10,5.374821749600497e-05
12.023471975133234,0.0492153258071796,0.06275564432144165,0.20885542035102844,11,5.374821749600497e-05
10.943251294382035,0.05492552641860331,0.08047757297754288,0.23303790390491486,12,5.374821749600497e-05
12.909131986224608,0.03061736568375428,0.05117841064929962,0.1935068964958191,13,5.374821749600497e-05
10.392764817585942,0.07804986604496328,0.09135314077138901,0.24200309813022614,14,5.374821749600497e-05
10.453333243007272,0.0045319988298861205,0.09008794277906418,0.2503490149974823,15,5.374821749600497e-05
10.299080386284254,0.06836891173064348,0.09334519505500793,0.24902251362800598,16,5.374821749600497e-05
10.708846772917118,0.07669710767125454,0.0849405974149704,0.23619039356708527,17,5.374821749600497e-05
10.76516978943909,0.08318999100605422,0.08384612202644348,0.23445238173007965,18,5.374821749600497e-05
10.981870147853385,0.053031956654803335,0.07976510375738144,0.23428422212600708,19,5.374821749600497e-05
13.914218419661095,0.06135843808676725,0.04060487449169159,0.16749970614910126,20,5.374821749600497e-05
13.999145803203577,0.061282237027703,0.039818547666072845,0.17020446062088013,21,5.374821749600497e-05
13.07627613001028,0.04511822385315473,0.0492461621761322,0.19135510921478271,22,5.374821749600497e-05
13.741535250583539,0.0509791133563348,0.04225192219018936,0.17583128809928894,23,5.374821749600497e-05
10.393217187130844,0.08310839888153679,0.09134363383054733,0.24091121554374695,24,5.374821749600497e-05
13.561570307259363,0.043759198696107796,0.04403955861926079,0.1791415512561798,25,5.374821749600497e-05
12.824924811873187,0.037444676464619395,0.05218041315674782,0.19581246376037598,26,5.374821749600497e-05
13.718302749644003,0.06564396709347384,0.04247855395078659,0.17129801213741302,27,5.374821749600497e-05
14.25029700206773,0.06439501197796285,0.037581171840429306,0.16635242104530334,28,5.374821749600497e-05
11.152888746012222,0.04473768626527526,0.07668513059616089,0.22957244515419006,29,5.374821749600497e-05
10.762172854058658,0.05148856076206977,0.08390401303768158,0.23980209231376648,30,5.374821749600497e-05
13.197052527257938,0.05475328089253484,0.04789550229907036,0.18767791986465454,31,5.374821749600497e-05
9.79322587214308,0.06277541730931395,0.104876309633255,0.2629704475402832,32,5.374821749600497e-05
12.593620388424824,0.026352969761165877,0.05503487214446068,0.1987072229385376,33,5.374821749600497e-05
11.4695499081816,0.06473781595113966,0.0712926909327507,0.22045332193374634,34,5.374821749600497e-05
13.8452711523337,0.05156788875907968,0.04125464707612991,0.17354631423950195,35,5.374821749600497e-05
10.723137316264019,0.08427691477032878,0.0846615731716156,0.23196624219417572,36,5.374821749600497e-05
10.938544265315866,0.04505859367636425,0.08056484907865524,0.2358723282814026,37,5.374821749600497e-05
10.20365723877128,0.06941225336574511,0.09541887789964676,0.2500412166118622,38,5.374821749600497e-05
12.468856984362802,0.035616133309244964,0.05663884058594704,0.20178167521953583,39,5.374821749600497e-05
11.8507478917622,0.025463298490192035,0.065301813185215,0.21541234850883484,40,5.374821749600497e-05
12.464850457848065,0.040117541816463195,0.05669110640883446,0.2033253312110901,41,5.374821749600497e-05
12.649041665071914,0.04287550079375191,0.0543370246887207,0.19384793937206268,42,5.374821749600497e-05
11.649943813247997,0.050487442481176474,0.06839203834533691,0.2173033058643341,43,5.374821749600497e-05
10.90978325897736,0.06409714834531795,0.08110014349222183,0.23233471810817719,44,5.374821749600497e-05
14.407904856250067,0.06283802410493415,0.03624178096652031,0.1605001986026764,45,5.374821749600497e-05
11.71065815415262,0.02599187816061722,0.06744258105754852,0.22028787434101105,46,5.374821749600497e-05
10.926615555575385,0.09765471395211245,0.08078643679618835,0.22560139000415802,47,5.374821749600497e-05
13.148460427690967,0.05592785620586754,0.04843440651893616,0.18734247982501984,48,5.374821749600497e-05
13.49735996977154,0.04837483021626617,0.04469551891088486,0.18062712252140045,49,5.374821749600497e-05
13.364139133084977,0.07243910749077664,0.04608781635761261,0.18024879693984985,50,5.374821749600497e-05
12.337955746597185,0.03623069518710976,0.058371979743242264,0.2028760313987732,51,5.374821749600497e-05
11.691957817373064,0.051187328928504194,0.06773361563682556,0.2159232795238495,52,5.374821749600497e-05
10.805701765299458,0.08354992385599168,0.08306725323200226,0.2332380712032318,53,5.374821749600497e-05
12.160857035696122,0.04211596184344937,0.06080150231719017,0.2033797949552536,54,5.374821749600497e-05
