,psnr,ssim,mse,mae,sample_idx,generation_time
count,55.0,55.0,55.0,55.0,55.0,55.0
mean,12.114175330003764,0.05404203780132541,0.06435469077392057,0.2085639319636605,27.0,5.459785461425781e-05
std,1.3427047419506584,0.01695348530500803,0.019396060399972034,0.02850440720665996,16.020819787597222,0.0
min,9.763583985777906,0.004113523561393709,0.036638274788856506,0.16144327819347382,0.0,5.459785461425781e-05
25%,10.886056807311817,0.04372186349342068,0.0464144516736269,0.18146320432424545,13.5,5.459785461425781e-05
50%,12.003139065339141,0.0536680965473828,0.06305014342069626,0.20913079380989075,27.0,5.459785461425781e-05
75%,13.33348715171009,0.06271885028970747,0.08154457062482834,0.23420116305351257,40.5,5.459785461425781e-05
max,14.360650168071496,0.09633130261628425,0.10559458285570145,0.2640516757965088,54.0,5.459785461425781e-05
