,psnr,ssim,mse,mae,sample_idx,generation_time
count,6235.0,6235.0,6235.0,6235.0,6235.0,6235.0
mean,18.028676796735155,0.51901868059448,0.016568424402188687,0.06761087428452783,3117.0,0.07737372669106785
std,1.3730375365973642,0.05915525646836709,0.00552766802066682,0.012874576156680589,1800.0337959790272,0.0312528780516791
min,12.137851726163621,0.29003419577608464,0.006596669089049101,0.03974074870347977,0.0,0.012822408229112625
25%,17.110372535485624,0.4818825883925967,0.012601057533174753,0.05825430899858475,1558.5,0.05492188408970833
50%,18.056701913627325,0.5230600467172892,0.015643352642655373,0.06598927825689316,3117.0,0.08086328580975533
75%,18.995930114214488,0.5618548539377322,0.01945193111896515,0.07511578127741814,4675.5,0.1020156554877758
max,21.80675247193491,0.6938021594399248,0.06112442910671234,0.13324344158172607,6234.0,0.1275324821472168
