,psnr,ssim,mse,mae,sample_idx,generation_time
count,6235.0,6235.0,6235.0,6235.0,6235.0,6235.0
mean,20.92149129196544,0.624745925330679,0.008460354547105198,0.049179398676540344,3117.0,5.195712507870452e-05
std,1.2810070421210389,0.05661975772371061,0.0027016029252115415,0.008553422317308232,1800.0337959790272,1.213314834580807e-05
min,15.20006684870678,0.33249587045838497,0.003333132714033127,0.030082663521170616,0.0,3.118440508842468e-05
25%,20.1270904578573,0.591781201549329,0.006590449251234531,0.04312356375157833,1558.5,4.68716025352478e-05
50%,20.94995993195061,0.6309325274143898,0.008035335689783096,0.04826187714934349,3117.0,4.69014048576355e-05
75%,21.81085001424575,0.6648041634669104,0.009711604099720716,0.05398000590503216,4675.5,6.249174475669861e-05
max,24.77147386914357,0.7755248146932295,0.03019905276596546,0.09488934278488159,6234.0,0.00011116487008553964
