,psnr,ssim,mse,mae,sample_idx,generation_time
count,6235.0,6235.0,6235.0,6235.0,6235.0,6235.0
mean,18.196436086124862,0.5332867027047274,0.01587901509485679,0.06551131530460971,3117.0,0.0028079923860722766
std,1.318034795078031,0.057652643310416425,0.005107605905617249,0.01200044867985269,1800.0337959790272,0.0020640845923838385
min,12.254874308296845,0.30758814332965917,0.006522177252918482,0.039506349712610245,0.0,0.000671878457069397
25%,17.32710625080381,0.49757788925992474,0.012242118827998638,0.05690678022801876,1558.5,0.000781279057264328
50%,18.219873154021435,0.5371628045814111,0.015066510997712612,0.06423401087522507,3117.0,0.003062501549720764
75%,19.12143405018653,0.5747210742259456,0.01850501261651516,0.07244255021214485,4675.5,0.004859350621700287
max,21.856074339146566,0.6973251723393802,0.05949939414858818,0.12939125299453735,6234.0,0.00642356276512146
