,psnr,ssim,mse,mae,sample_idx,generation_time
count,6235.0,6235.0,6235.0,6235.0,6235.0,6235.0
mean,20.556408318378057,0.5979285142625993,0.009195474288542102,0.05292814333341365,3117.0,5.2614869742557923e-05
std,1.276021850143967,0.056846749609109584,0.00287647235170172,0.009173953280331774,1800.0337959790272,1.1648519432137218e-05
min,14.881432870443426,0.31075182227693376,0.0038294114638119936,0.03197160363197327,0.0,3.1054019927978516e-05
25%,19.723842822171626,0.5640487469061892,0.007162113441154361,0.046481192111968994,1558.5,4.68716025352478e-05
50%,20.593032102205587,0.6026284932278448,0.00872362032532692,0.05160987749695778,3117.0,4.688277840614319e-05
75%,21.449588216300306,0.638151170737099,0.01065652770921588,0.05838946811854839,4675.5,6.249174475669861e-05
max,24.16868005186561,0.7595338152300503,0.032498009502887726,0.0982031300663948,6234.0,0.00011107656690809462
