,psnr,ssim,mse,mae,sample_idx,generation_time
count,6235.0,6235.0,6235.0,6235.0,6235.0,6235.0
mean,17.82157102534922,0.5022246488286087,0.017439947947157725,0.07041127224420679,3117.0,0.07492514639351974
std,1.4240557857039433,0.06014169826950544,0.005985369536720028,0.014011410761956892,1800.0337959790272,0.031571113325120866
min,12.084585190584583,0.2768214826626814,0.0066575463861227036,0.04023290425539017,0.0,0.01585937663912773
25%,16.859064557245603,0.4640595473703343,0.01305723749101162,0.060245998203754425,1558.5,0.04239059239625931
50%,17.842613193488983,0.5059093063263624,0.016433825716376305,0.06851167976856232,3117.0,0.07883602380752563
75%,18.84148702243874,0.5459191866566537,0.020610738545656204,0.07864150032401085,4675.5,0.10274999216198921
max,21.766857640756612,0.6854770569638708,0.0618787482380867,0.1363440901041031,6234.0,0.1268129050731659
