,psnr,ssim,mse,mae,sample_idx,generation_time
count,55.0,55.0,55.0,55.0,55.0,55.0
mean,10.197545773729598,0.0510779553341421,0.0999258511445739,0.26876793801784515,27.0,0.005577351830222392
std,1.3196959199246112,0.016809380505848657,0.029875705437849693,0.03670416816511635,16.020819787597222,1.7507120487674707e-18
min,7.8445880039459315,-0.005392901250334682,0.056628502905368805,0.20611616969108582,0.0,0.00557735183022239
25%,8.976303144317763,0.04306518277665429,0.07323639467358589,0.23728205263614655,13.5,0.00557735183022239
50%,10.23658623627012,0.052166396322508024,0.09469813108444214,0.2665634751319885,27.0,0.00557735183022239
75%,11.352839985691386,0.06298150991822327,0.12658217549324036,0.30075405538082123,40.5,0.00557735183022239
max,12.469649633113445,0.0875057658461233,0.1642635464668274,0.3427049517631531,54.0,0.00557735183022239
