,psnr,ssim,mse,mae,sample_idx,generation_time
count,55.0,55.0,55.0,55.0,55.0,55.0
mean,13.152219881936027,0.3010671064015355,0.04882785190235485,0.1395552639256824,27.0,0.004109161550348456
std,0.5860891334306136,0.03160749687011208,0.006624042580180879,0.013171927668224498,16.020819787597222,8.753560243837353e-19
min,11.934403888304015,0.2492696240972193,0.035688258707523346,0.1190928965806961,0.0,0.004109161550348455
25%,12.721018319952446,0.2847004268529455,0.04381120018661022,0.12997516244649887,13.5,0.004109161550348455
50%,13.153510920373899,0.30215386747880196,0.0483781099319458,0.13779547810554504,27.0,0.004109161550348455
75%,13.584165078628738,0.3116786640116396,0.05344402231276035,0.1503104418516159,40.5,0.004109161550348455
max,14.474746385839142,0.37407654244587407,0.06405596435070038,0.16479870676994324,54.0,0.004109161550348455
