,psnr,ssim,mse,mae,sample_idx,generation_time
count,6235.0,6235.0,6235.0,6235.0,6235.0,6235.0
mean,18.555655843832998,0.5840634771916677,0.015992754362986604,0.06326772855428954,3117.0,0.0027367473317798656
std,1.7858728465518872,0.0652829074067517,0.016733598269466524,0.022550025389811178,1800.0337959790272,0.002021609274567292
min,5.216969820575094,0.12022298998114922,0.005812354385852814,0.03769221901893616,0.0,0.0006406158208847046
25%,17.921930282992232,0.5509340181316289,0.010904621798545122,0.05300568602979183,1558.5,0.0007500015199184418
50%,18.824897983089482,0.5915026420426635,0.013107207603752613,0.05941924452781677,3117.0,0.0029877759516239166
75%,19.6238941418192,0.6303415545123351,0.016136412508785725,0.06704840064048767,4675.5,0.004723280668258667
max,22.356479057683547,0.7357281067744409,0.30081743001937866,0.38609498739242554,6234.0,0.006218921393156052
